#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
6116452618381,"","",,"","",0.000000,,"",0,"","","",0.000000,"",0.000000,"","","","","","",06-28-2021,0,"","",0.000000,0,0,"","","","D8A5C37E-55F2-4A7E-B8CC-09908786BA19",""
6783015158488,"","",,"","",0.000000,,"",0,"","","",0.000000,"",0.000000,"","","","","","",06-28-2021,0,"","",0.000000,0,0,"","","","C78B8A8C-3BE2-4513-BB46-11583B3F6278",""
9783625185819,"","",,"","",0.000000,,"",0,"","","",0.000000,"",0.000000,"","","","","","",06-27-2021,0,"","",0.000000,0,0,"","","","EBD286C9-297E-4D60-8143-23D52584C1A0",""
9790083310166,"","",,"","",0.000000,,"",0,"","","",0.000000,"",0.000000,"","","","","","",05-09-2018,0,"","",0.000000,0,0,"","","","71453ED6-FF76-4399-B9B3-8110EB449F6C",""
9783825152222,"","Ulf Stark; Regina Kehn; Birgitta Kicherer",01-01-2020,"Urachhaus","",0.000000,,"90 pages",0,"","","",0.000000,"",0.000000,"","","","","","",06-28-2021,0,"","",0.000000,0,89,"Stuttgart","","","E98FA4AE-84BE-425A-A0AC-2B2A7D9520DB","Als Ich Die Pflaumen Des Riesen Klaute"
9783825175702,"","Elsa Beskow",01-01-2007,"Urachhaus","Cows",5.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",05-08-2018,0,"","",0.000000,0,24,"Stuttgart","","","A3FE2EC9-CBBD-4345-9F58-3055BA9129AE","Annika"
9783451707575,"","Susanne Müller-Firgau",01-01-2007,"Kerle","",0.000000,,"book",0,"","","Das Allererste Wimmel-Bilderbuch",0.000000,"",0.000000,"","","","","","",12-31-2013,0,"","",0.000000,0,13,"[Basel]","","","647FDEB5-FE10-45B2-A0A3-330686F74860","Benjamins Bilderbuch"
9783423790369,"","Otfried Preussler; Herbert Holzing",01-01-1990,"Deutscher Taschenbuch Verlag","",0.000000,,"28 pages",0,"","","Dtv Junior",0.000000,"",0.000000,"","","","","","",06-28-2021,0,"","",0.000000,0,28,"München","","","4FAE878A-6EEC-4FC3-B930-1A4293FFE979","Brot Für Myra"
9783880690899,"Aus ""des Knaben Wunderhorn""","Ruth Elsässer",01-01-1985,"Mellinger","",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",12-31-2013,0,"","",0.000000,0,18,"Stuttgart","","","9231C1A7-6789-41BF-A7E1-83CBD80FB82F","Das Bucklige Männlein"
9783880691544,"Ein Irisches Märchen","Ruth Elsässer",01-01-1984,"J.Ch. Mellinger","",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",12-31-2013,0,"","",0.000000,0,16,"Stuttgart","","","2FC8A2AE-CC34-46D9-936C-C9AE37C7E84A","Das Fingerhütchen"
